#Software:,Microsoft,Internet,Information,Services,6,,,,,,,,,,,,,,,
#Version:,1,,,,,,,,,,,,,,,,,,,
#Date:,1/9/14,0:00:05,,,,,,,,,,,,,,,,,,
#Fields:,,,,,,,,,,,,,,,,,,,,
date,time,c-ip,cs-username,s-sitename,s-computername,s-ip,s-port,cs-method,cs-uri-stem,cs-uri-query,sc-status,sc-win32-status,sc-bytes,cs-bytes,time-taken,cs-version,cs-host,cs(User-Agent),cs(Cookie),cs(Referer)
1/9/14,0:00:05,10.10.10.247,p01c11m112.lilliputmail.tgt,SMTPSVC1,targetEXFE01,10.12.1.11,0,EHLO,-,#NAME?,250,0,318,27,0,SMTP,-,-,-,-
1/9/14,0:00:05,10.10.10.247,p01c11m112.lilliputmail.tgt,SMTPSVC1,targetEXFE01,10.12.1.11,0,MAIL,-,+FROM:<do_not_reply@target.tgt>,250,0,45,32,0,SMTP,-,-,-,-
1/9/14,0:00:05,10.10.10.247,p01c11m112.lilliputmail.tgt,SMTPSVC1,targetEXFE01,10.12.1.11,0,RCPT,-,+TO:<treasury@target.tgt>,250,0,36,33,0,SMTP,-,-,-,-
1/9/14,0:00:05,10.10.10.247,p01c11m112.lilliputmail.tgt,SMTPSVC1,targetEXFE01,10.12.1.11,0,DATA,-,<483eef37-ae98-4950-8a3d-deefeb7d0acf@CGYPRDEXHUB01.targetnorth.local>,250,0,151,3419,328,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,"220+targetEXMB01.target1.local+Microsoft+ESMTP+MAIL+Service,+Version:+6.0.3790.3959+ready+at++Sat,+15+May+2010+02:00:06++0200+",0,0,124,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionCommand,SMTPSVC1,targetEXFE01,-,25,EHLO,-,targetexfe01.target1.local,0,0,4,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,250-targetEXMB01.target1.local+Hello+[10.12.1.11],0,0,48,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,334+GSSAPI+supported,0,0,20,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,235+2.7.0+Authentication+successful.,0,0,36,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionCommand,SMTPSVC1,targetEXFE01,-,25,X-LINK2STATE,-,LAST+CHUNK={0000006a}+MULTI+(5)+({00000051}+DIGEST_QUERY+50d8e99fdb9fac4d90eb79c8587b8944+1511de753fe5360a5b5fec88c815b799++)++,0,0,12,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,200+LAST+CHUNK={00000029}+MULTI+(5)+({00000010}+DONE_RESPONSE++)++,0,0,66,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionCommand,SMTPSVC1,targetEXFE01,-,25,MAIL,-,FROM:<do_not_reply@target.tgt>+AUTH=<>,0,0,4,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,250+2.1.0+do_not_reply@target.tgt....Sender+OK,0,0,43,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionCommand,SMTPSVC1,targetEXFE01,-,25,RCPT,-,TO:<treasury@target.tgt>,0,0,4,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,250+2.1.5+treasury@target.tgt+,0,0,34,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionCommand,SMTPSVC1,targetEXFE01,-,25,XEXCH50,-,1084+2,0,0,7,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,354+Send+binary+data,0,0,20,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,250+XEXCH50+OK,0,0,14,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionCommand,SMTPSVC1,targetEXFE01,-,25,BDAT,-,3660+LAST,0,0,4,0,15,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,250+2.6.0+<483eef37-ae98-4950-8a3d-deefeb7d0acf@CGYPRDEXHUB01.targetnorth.local>+Queued+mail+for+delivery,0,0,103,0,31,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionCommand,SMTPSVC1,targetEXFE01,-,25,QUIT,-,-,0,0,4,0,47,SMTP,-,-,-,-
1/9/14,0:00:05,192.168.49.6,OutboundConnectionResponse,SMTPSVC1,targetEXFE01,-,25,-,-,221+2.0.0+targetEXMB01.target1.local+Service+closing+transmission+channel,0,0,71,0,47,SMTP,-,-,-,-
